Memory		Disk		CPU
28.79%		40%		1.70%		
28.67%		40%		1.70%		
28.70%		40%		1.57%		
28.74%		40%		1.57%		
28.73%		40%		1.44%		
28.72%		40%		1.44%		
28.68%		40%		1.44%		
28.67%		40%		1.33%		
28.66%		40%		1.33%		
28.69%		40%		1.22%		
28.66%		40%		1.22%		
28.69%		40%		1.12%		
28.68%		40%		1.12%		
28.66%		40%		1.03%		
28.66%		40%		1.03%		
28.49%		40%		1.03%		
28.66%		40%		1.11%		
28.61%		40%		1.11%		
28.55%		40%		1.02%		
28.59%		40%		1.02%		
28.62%		40%		0.94%		
28.16%		40%		0.94%		
28.27%		40%		0.94%		
28.18%		40%		0.94%		
28.21%		40%		0.94%		
28.15%		40%		0.87%		
27.95%		40%		0.87%		
